code,name,Type,Qin
sp3,Abelia serrata,narrow-ranged,LC
sp5,Abies beshanzuensis,narrow-ranged,CR
sp29,Abies yuanbaoshanensis,narrow-ranged,CR
sp36,Abutilon sinense var. edentatum,narrow-ranged,NT
sp47,Acacia tonkinensis,narrow-ranged,EN
sp50,Acalypha akoensis,narrow-ranged,NT
sp51,Acalypha angatensis,narrow-ranged,LC
sp52,Acalypha caturus,narrow-ranged,LC
sp53,Acalypha hainanensis,narrow-ranged,EN
sp56,Acalypha matsudae,narrow-ranged,LC
sp74,Acer buergerianum var. yentangense,narrow-ranged,LC
sp85,Acer chunii,narrow-ranged,EN
sp96,Acer fenzelianum,narrow-ranged,EN
sp100,Acer gracilifolium,narrow-ranged,EN
sp103,Acer hilaense,narrow-ranged,CR
sp125,Acer oblongum var. omeiense,narrow-ranged,LC
sp136,Acer pictum ssp. pubigerum,narrow-ranged,LC
sp138,Acer pilosum,narrow-ranged,VU
sp141,Acer poliophyllum,narrow-ranged,VU
sp161,Acer tenellum,narrow-ranged,CR
sp162,Acer tenellum var. septemlobum,narrow-ranged,CR
sp174,Acer yui,narrow-ranged,EN
sp176,Acidosasa lingchuanensis,narrow-ranged,DD
sp185,Actinidia callosa var. acuminata,narrow-ranged,CR
sp190,Actinidia farinosa,narrow-ranged,VU
sp193,Actinidia fasciculoides var. orbiculata,narrow-ranged,EN
sp199,Actinidia grandiflora,narrow-ranged,CR
sp203,Actinidia laevissima,narrow-ranged,VU
sp215,Actinidia rufotricha,narrow-ranged,VU
sp219,Actinidia stellatopilosa,narrow-ranged,CR
sp221,Actinidia suberifolia,narrow-ranged,CR
sp224,Actinidia ulmifolia,narrow-ranged,EN
sp238,Actinodaphne mushaensis,narrow-ranged,LC
sp240,Actinodaphne obscurinervia,narrow-ranged,EN
sp242,Actinodaphne paotingensis,narrow-ranged,NT
sp247,Adenia penangiana,narrow-ranged,VU
sp253,Adinandra elegans,narrow-ranged,CR
sp258,Adinandra grandis,narrow-ranged,EN
sp261,Adinandra howii,narrow-ranged,LC
sp263,Adinandra lasiostyla,narrow-ranged,VU
sp268,Adinandra pingbianensis,narrow-ranged,EN
sp272,Aeschynanthus angustioblongus,narrow-ranged,LC
sp278,Aeschynanthus denticuliger,narrow-ranged,LC
sp282,Aeschynanthus lancilimbus,narrow-ranged,NT
sp283,Aeschynanthus lasianthus,narrow-ranged,DD
sp292,Aeschynanthus pachytrichus,narrow-ranged,LC
sp294,Aeschynanthus poilanei,narrow-ranged,LC
sp295,Aeschynanthus sinolongicalyx,narrow-ranged,DD
sp310,Agapetes aborensis,narrow-ranged,DD
sp313,Agapetes brachypoda var. gracilis,narrow-ranged,DD
sp314,Agapetes brandisiana,narrow-ranged,NT
sp330,Agapetes linearifolia,narrow-ranged,DD
sp342,Agapetes neriifolia,narrow-ranged,DD
sp343,Agapetes nutans,narrow-ranged,DD
sp347,Agapetes pilifera,narrow-ranged,DD
sp350,Agapetes pseudogriffithii,narrow-ranged,LC
sp355,Agapetes salicifolia,narrow-ranged,DD
sp356,Agelaea trinervis,narrow-ranged,EN
sp363,Aglaia teysmanniana,narrow-ranged,LC
sp378,Ajania nitida,narrow-ranged,LC
sp379,Ajania nubigena,narrow-ranged,DD
sp388,Akebia chingshuiensis,narrow-ranged,LC
sp410,Albizia attopeuensis,narrow-ranged,EN
sp437,Allophylus chartaceus,narrow-ranged,LC
sp439,Allophylus dimorphus,narrow-ranged,DD
sp451,Alnus lanata,narrow-ranged,DD
sp461,Alseodaphne hainanensis,narrow-ranged,VU
sp462,Alseodaphne huanglianshanensis,narrow-ranged,LC
sp464,Alseodaphne rugosa,narrow-ranged,LC
sp465,Alseodaphne sichourensis,narrow-ranged,EN
sp466,Alseodaphne yunnanensis,narrow-ranged,EN
sp468,Alsophila austro-yunnanensis,narrow-ranged,CR
sp474,Alsophila loheri,narrow-ranged,NT
sp478,Alstonia henryi,narrow-ranged,VU
sp483,Alstonia rupestris,narrow-ranged,LC
sp489,Altingia multinervis,narrow-ranged,EN
sp495,Alyxia insularis,narrow-ranged,LC
sp499,Alyxia reinwardtii,narrow-ranged,LC
sp508,Amentotaxus formosana,narrow-ranged,EN
sp511,Ammodendron bifolium,narrow-ranged,EN
sp513,Ampelocalamus actinotrichus,narrow-ranged,VU
sp514,Ampelocalamus calcareus,narrow-ranged,CR
sp515,Ampelocalamus hirsutissimus,narrow-ranged,DD
sp517,Ampelocalamus melicoideus,narrow-ranged,LC
sp518,Ampelocalamus mianningensis,narrow-ranged,VU
sp519,Ampelocalamus microphyllus,narrow-ranged,LC
sp520,Ampelocalamus naibunensis,narrow-ranged,LC
sp521,Ampelocalamus saxatilis,narrow-ranged,DD
sp522,Ampelocalamus scandens,narrow-ranged,LC
sp523,Ampelocalamus yongshanensis,narrow-ranged,DD
sp524,Ampelocissus hoabinhensis,narrow-ranged,LC
sp525,Ampelocissus xizangensis,narrow-ranged,LC
sp526,Ampelopsis acerifolia,narrow-ranged,VU
sp556,Ancylostemon rhombifolius,narrow-ranged,DD
sp557,Ancylostemon ronganensis,narrow-ranged,LC
sp576,Antidesma nienkui,narrow-ranged,LC
sp577,Antidesma sootepense,narrow-ranged,LC
sp602,Aralia scaberula,narrow-ranged,NT
sp605,Aralia stipulata,narrow-ranged,DD
sp608,Aralia vietnamensis,narrow-ranged,LC
sp621,Archidendron cordifolium,narrow-ranged,CR
sp628,Archidendron tonkinense,narrow-ranged,LC
sp639,Ardisia carnosicaulis,narrow-ranged,LC
sp660,Ardisia nigropilosa,narrow-ranged,NT
sp666,Ardisia porifera,narrow-ranged,LC
sp670,Ardisia ramondiiformis,narrow-ranged,LC
sp672,Ardisia retroflexa,narrow-ranged,NT
sp678,Ardisia verbascifolia,narrow-ranged,LC
sp681,Ardisia waitakii,narrow-ranged,LC
sp688,Argyreia baoshanensis,narrow-ranged,DD
sp690,Argyreia cheliensis,narrow-ranged,NT
sp691,Argyreia eriocephala,narrow-ranged,LC
sp692,Argyreia formosana,narrow-ranged,LC
sp696,Argyreia lineariloba,narrow-ranged,DD
sp697,Argyreia marlipoensis,narrow-ranged,DD
sp699,Argyreia maymyo,narrow-ranged,DD
sp701,Argyreia monosperma,narrow-ranged,LC
sp704,Argyreia pierreana,narrow-ranged,LC
sp706,Argyreia strigillosa,narrow-ranged,DD
sp714,Aristolochia howii,narrow-ranged,VU
sp734,Artabotrys multiflorus,narrow-ranged,LC
sp736,Artabotrys punctulatus,narrow-ranged,EN
sp737,Artabotrys rhynchocarpus,narrow-ranged,EN
sp750,Artocarpus nanchuanensis,narrow-ranged,CR
sp751,Artocarpus nigrifolius,narrow-ranged,CR
sp752,Artocarpus nitidus ssp. griffithii,narrow-ranged,LC
sp757,Artocarpus xanthocarpus,narrow-ranged,EN
sp758,Arundinaria faberi,narrow-ranged,NT
sp770,Aster albescens var. discolor,narrow-ranged,DD
sp780,Aster argyropholis var. paradoxus,narrow-ranged,DD
sp785,Aster nitidus,narrow-ranged,LC
sp792,Atalantia fongkaica,narrow-ranged,CR
sp793,Atalantia guillauminii,narrow-ranged,VU
sp795,Atalantia kwangtungensis,narrow-ranged,NT
sp809,Aucuba albopunctifolia var. angustula,narrow-ranged,LC
sp811,Aucuba chinensis var. angusta,narrow-ranged,LC
sp813,Aucuba confertiflora,narrow-ranged,EN
sp823,Azima sarmentosa,narrow-ranged,NT
sp830,Bambusa angustiaurita,narrow-ranged,DD
sp836,Bambusa burmanica,narrow-ranged,DD
sp838,Bambusa contracta,narrow-ranged,DD
sp840,Bambusa crispiaurita,narrow-ranged,DD
sp841,Bambusa diaoluoshanensis,narrow-ranged,DD
sp848,Bambusa glabrovagina,narrow-ranged,LC
sp849,Bambusa grandis,narrow-ranged,LC
sp850,Bambusa guangxiensis,narrow-ranged,LC
sp851,Bambusa hainanensis,narrow-ranged,DD
sp852,Bambusa indigena,narrow-ranged,DD
sp853,Bambusa insularis,narrow-ranged,DD
sp855,Bambusa longipalea,narrow-ranged,DD
sp856,Bambusa macrotis,narrow-ranged,DD
sp857,Bambusa mollis,narrow-ranged,DD
sp858,Bambusa multiplex var. incana,narrow-ranged,DD
sp859,Bambusa mutabilis,narrow-ranged,DD
sp862,Bambusa papillata,narrow-ranged,DD
sp864,Bambusa piscatorum,narrow-ranged,DD
sp865,Bambusa polymorpha,narrow-ranged,DD
sp866,Bambusa prominens,narrow-ranged,DD
sp867,Bambusa ramispinosa,narrow-ranged,DD
sp872,Bambusa subtruncata,narrow-ranged,DD
sp873,Bambusa surrecta,narrow-ranged,DD
sp875,Bambusa variostriata,narrow-ranged,DD
sp876,Bambusa xiashanensis,narrow-ranged,DD
sp878,Barleria integrisepala,narrow-ranged,DD
sp880,Barleria purpureosepala,narrow-ranged,LC
sp885,Barthea barthei var. valdealata,narrow-ranged,EN
sp893,Bauhinia cercidifolia,narrow-ranged,VU
sp894,Bauhinia chalcophylla,narrow-ranged,NT
sp896,Bauhinia coccinea ssp. tonkinensis,narrow-ranged,LC
sp899,Bauhinia damiaoshanensis,narrow-ranged,LC
sp906,Bauhinia hirsuta,narrow-ranged,LC
sp907,Bauhinia hypochrysa,narrow-ranged,NT
sp919,Bauhinia rubrovillosa,narrow-ranged,LC
sp920,Bauhinia tianlinensis,narrow-ranged,LC
sp921,Bauhinia tomentosa,narrow-ranged,LC
sp927,Bauhinia wallichii,narrow-ranged,LC
sp937,Beilschmiedia cylindrica,narrow-ranged,CR
sp944,Beilschmiedia glauca var. glaucoides,narrow-ranged,NT
sp945,Beilschmiedia henghsienensis,narrow-ranged,EN
sp950,Beilschmiedia longepetiolata,narrow-ranged,NT
sp951,Beilschmiedia macropoda,narrow-ranged,NT
sp953,Beilschmiedia obconica,narrow-ranged,NT
sp954,Beilschmiedia obscurinervia,narrow-ranged,CR
sp955,Beilschmiedia ovoidea,narrow-ranged,NT
sp956,Beilschmiedia pauciflora,narrow-ranged,NT
sp966,Beilschmiedia tungfangensis,narrow-ranged,CR
sp973,Berberis alpicola,narrow-ranged,CR
sp977,Berberis aristatoserrulata,narrow-ranged,VU
sp980,Berberis batangensis,narrow-ranged,LC
sp985,Berberis campylotropa,narrow-ranged,LC
sp992,Berberis daiana,narrow-ranged,DD
sp996,Berberis derongensis,narrow-ranged,DD
sp1008,Berberis fujianensis,narrow-ranged,LC
sp1013,Berberis guizhouensis,narrow-ranged,LC
sp1015,Berberis hayatana,narrow-ranged,LC
sp1021,Berberis hsuyunensis,narrow-ranged,LC
sp1028,Berberis jiangxiensis,narrow-ranged,LC
sp1040,Berberis malipoensis,narrow-ranged,LC
sp1042,Berberis mianningensis,narrow-ranged,LC
sp1044,Berberis morrisonensis,narrow-ranged,LC
sp1046,Berberis multicaulis,narrow-ranged,DD
sp1048,Berberis nemorosa,narrow-ranged,DD
sp1049,Berberis nullinervis,narrow-ranged,LC
sp1059,Berberis prattii,narrow-ranged,LC
sp1061,Berberis pseudoamoena,narrow-ranged,DD
sp1064,Berberis qiaojiaensis,narrow-ranged,LC
sp1066,Berberis replicata,narrow-ranged,LC
sp1072,Berberis sichuanica,narrow-ranged,LC
sp1082,Berberis tianshuiensis,narrow-ranged,LC
sp1096,Berberis ziyunensis,narrow-ranged,LC
sp1099,Berchemia brachycarpa,narrow-ranged,DD
sp1105,Berchemia hirtella var. glabrescens,narrow-ranged,LC
sp1109,Berchemia huana var. glabrescens,narrow-ranged,LC
sp1116,Berchemia polyphylla var. trichophylla,narrow-ranged,LC
sp1120,Berchemiella yunnanensis,narrow-ranged,CR
sp1121,Berrya cordifolia,narrow-ranged,LC
sp1138,Betula gynoterminalis,narrow-ranged,CR
sp1142,Betula jinpingensis,narrow-ranged,LC
sp1144,Betula microphylla,narrow-ranged,LC
sp1152,Betula tianschanica,narrow-ranged,LC
sp1153,Betula trichogemma,narrow-ranged,LC
sp1155,Bhesa robusta,narrow-ranged,CR
sp1159,Blachia siamensis,narrow-ranged,LC
sp1161,Blastus brevissimus,narrow-ranged,LC
sp1167,Blastus tsaii,narrow-ranged,NT
sp1171,Boehmeria conica,narrow-ranged,LC
sp1174,Boehmeria dolichostachya var. mollis,narrow-ranged,LC
sp1179,Boehmeria lohuiensis,narrow-ranged,NT
sp1181,Boehmeria macrophylla var. canescens,narrow-ranged,LC
sp1192,Boeica porosa,narrow-ranged,LC
sp1196,Bonia amplexicaulis,narrow-ranged,VU
sp1197,Bonia levigata,narrow-ranged,VU
sp1198,Bonia parvifloscula,narrow-ranged,VU
sp1209,Brandisia cauliflora,narrow-ranged,LC
sp1211,Brandisia glabrescens var. hypochrysa,narrow-ranged,NT
sp1218,Brassaiopsis angustifolia,narrow-ranged,LC
sp1223,Brassaiopsis ficifolia,narrow-ranged,LC
sp1231,Brassaiopsis shweliensis,narrow-ranged,LC
sp1234,Bredia biglandularis,narrow-ranged,NT
sp1236,Bredia hirsuta var. scandens,narrow-ranged,LC
sp1254,Broussonetia kurzii,narrow-ranged,LC
sp1262,Buchanania yunnanensis,narrow-ranged,EN
sp1272,Buddleja curviflora,narrow-ranged,LC
sp1285,Burretiodendron kydiifolium,narrow-ranged,NT
sp1288,Buxus hainanensis,narrow-ranged,EN
sp1290,Buxus hebecarpa,narrow-ranged,EN
sp1309,Caesalpinia hymenocarpa,narrow-ranged,LC
sp1325,Calamus dianbaiensis,narrow-ranged,VU
sp1326,Calamus distichus var. shangsiensis,narrow-ranged,VU
sp1333,Calamus guangxiensis,narrow-ranged,VU
sp1337,Calamus macrorrhynchus,narrow-ranged,LC
sp1339,Calamus multispicatus,narrow-ranged,LC
sp1341,Calamus obovoideus,narrow-ranged,CR
sp1342,Calamus pulchellus,narrow-ranged,EN
sp1350,Calamus yangchunensis,narrow-ranged,VU
sp1352,Calamus yunnanensis var. intermedius,narrow-ranged,VU
sp1368,Calliandra umbrosa,narrow-ranged,CR
sp1384,Callicarpa formosana var. longifolia,narrow-ranged,LC
sp1388,Callicarpa hungtaii,narrow-ranged,DD
sp1389,Callicarpa hypoleucophylla,narrow-ranged,LC
sp1395,Callicarpa kotoensis,narrow-ranged,LC
sp1407,Callicarpa minutiflora,narrow-ranged,DD
sp1412,Callicarpa pingshanensis,narrow-ranged,VU
sp1414,Callicarpa prolifera var. rubroglandulosa,narrow-ranged,LC
sp1415,Callicarpa pseudorubella,narrow-ranged,LC
sp1417,Callicarpa remotiserrulata,narrow-ranged,LC
sp1422,Callicarpa yunnanensis,narrow-ranged,VU
sp1424,Calligonum aphyllum,narrow-ranged,EN
sp1430,Calligonum cordatum,narrow-ranged,EN
sp1431,Calligonum densum,narrow-ranged,LC
sp1434,Calligonum jeminaicum,narrow-ranged,DD
sp1442,Calligonum trifarium,narrow-ranged,DD
sp1452,Calophanoides xantholeuca,narrow-ranged,LC
sp1454,Calophanoides yunnanensis,narrow-ranged,LC
sp1455,Calophyllum blancoi,narrow-ranged,LC
sp1460,Calycanthus chinensis,narrow-ranged,EN
sp1462,Camellia anlungensis var. acutiperulata,narrow-ranged,LC
sp1464,Camellia azalea,narrow-ranged,CR
sp1467,Camellia caudata var. gracilis,narrow-ranged,LC
sp1469,Camellia chrysanthoides,narrow-ranged,EN
sp1471,Camellia cordifolia var. glabrisepala,narrow-ranged,VU
sp1476,Camellia cupiformis,narrow-ranged,CR
sp1481,Camellia drupifera,narrow-ranged,LC
sp1483,Camellia elongata,narrow-ranged,EN
sp1484,Camellia euphlebia,narrow-ranged,VU
sp1487,Camellia fangchengensis,narrow-ranged,CR
sp1488,Camellia fascicularis,narrow-ranged,CR
sp1494,Camellia furfuracea var. latipetiolate,narrow-ranged,NT
sp1495,Camellia gaudichaudii,narrow-ranged,VU
sp1496,Camellia grandibracteata,narrow-ranged,VU
sp1502,Camellia ilicifolia,narrow-ranged,LC
sp1503,Camellia ilicifolia var. neriifolia,narrow-ranged,LC
sp1504,Camellia impressinervis,narrow-ranged,CR
sp1506,Camellia indochinensis var. tunghinensis,narrow-ranged,EN
sp1510,Camellia kwangsiensis,narrow-ranged,LC
sp1513,Camellia longipedicellata,narrow-ranged,EN
sp1514,Camellia longissima,narrow-ranged,LC
sp1516,Camellia luteoflora,narrow-ranged,VU
sp1520,Camellia melliana,narrow-ranged,EN
sp1521,Camellia micrantha,narrow-ranged,EN
sp1522,Camellia mileensis var. microphylla,narrow-ranged,VU
sp1524,Camellia pachyandra,narrow-ranged,VU
sp1528,Camellia pilosperma,narrow-ranged,CR
sp1529,Camellia pingguoensis,narrow-ranged,LC
sp1531,Camellia pitardii var. compressa,narrow-ranged,LC
sp1535,Camellia pubifurfuracea,narrow-ranged,EN
sp1536,Camellia pubipetala,narrow-ranged,EN
sp1537,Camellia pyxidiacea,narrow-ranged,LC
sp1551,Camellia szechuanensis,narrow-ranged,VU
sp1555,Camellia tenii,narrow-ranged,DD
sp1562,Camellia villicarpa,narrow-ranged,VU
sp1564,Camellia viridicalyx var. linearifolia,narrow-ranged,LC
sp1567,Camellia xanthochroma,narrow-ranged,VU
sp1572,Campylospermum serratum,narrow-ranged,LC
sp1579,Campylotropis grandifolia,narrow-ranged,LC
sp1586,Campylotropis pauciflora,narrow-ranged,LC
sp1589,Campylotropis tenuiramea,narrow-ranged,DD
sp1590,Campylotropis teretiracemosa,narrow-ranged,DD
sp1592,Campylotropis wenshanica,narrow-ranged,DD
sp1597,Canarium parvum,narrow-ranged,EN
sp1610,Capparis floribunda,narrow-ranged,CR
sp1612,Capparis hainanensis,narrow-ranged,LC
sp1613,Capparis henryi,narrow-ranged,LC
sp1615,Capparis khuamak,narrow-ranged,EN
sp1616,Capparis lanceolaris,narrow-ranged,LC
sp1627,Capparis trichocarpa,narrow-ranged,VU
sp1630,Capparis wui,narrow-ranged,EN
sp1680,Caragana shensiensis,narrow-ranged,NT
sp1699,Carissa edulis,narrow-ranged,LC
sp1709,Carpinus hebestroma,narrow-ranged,LC
sp1715,Carpinus microphylla,narrow-ranged,DD
sp1716,Carpinus minutiserrata,narrow-ranged,LC
sp1719,Carpinus omeiensis,narrow-ranged,DD
sp1724,Carpinus rankanensis var. matsudae,narrow-ranged,LC
sp1730,Carpinus tsunyihensis,narrow-ranged,LC
sp1735,Carrierea dunniana,narrow-ranged,LC
sp1741,Caryodaphnopsis laotica,narrow-ranged,NT
sp1747,Caryopteris glutinosa,narrow-ranged,VU
sp1761,Casearia kurzii,narrow-ranged,LC
sp1766,Cassiope argyrotricha,narrow-ranged,DD
sp1768,Cassiope membranifolia,narrow-ranged,DD
sp1776,Castanopsis amabilis,narrow-ranged,VU
sp1784,Castanopsis choboensis,narrow-ranged,LC
sp1787,Castanopsis concinna,narrow-ranged,NT
sp1788,Castanopsis crassifolia,narrow-ranged,VU
sp1790,Castanopsis densispinosa,narrow-ranged,CR
sp1799,Castanopsis globigemmata,narrow-ranged,CR
sp1804,Castanopsis jianfenglingensis,narrow-ranged,NT
sp1809,Castanopsis ledongensis,narrow-ranged,EN
sp1811,Castanopsis longzhouica,narrow-ranged,CR
sp1815,Castanopsis oblonga,narrow-ranged,CR
sp1821,Castanopsis tcheponensis,narrow-ranged,LC
sp1822,Castanopsis tessellata,narrow-ranged,EN
sp1834,Cayratia ciliifera,narrow-ranged,LC
sp1835,Cayratia cordifolia,narrow-ranged,LC
sp1901,Cerasus cyclamina var. biflora,narrow-ranged,LC
sp1903,Cerasus dielsiana var. abbreviata,narrow-ranged,LC
sp1905,Cerasus dolichadenia,narrow-ranged,LC
sp1942,Ceriscoides howii,narrow-ranged,VU
sp1951,Champereia manillana,narrow-ranged,LC
sp1957,Chelonopsis giraldii,narrow-ranged,LC
sp1958,Chelonopsis lichiangensis,narrow-ranged,EN
sp1964,Chelonopsis siccanea,narrow-ranged,EX
sp1975,Chimonanthus grammatus,narrow-ranged,EN
sp1983,Chimonobambusa convoluta,narrow-ranged,LC
sp1986,Chimonobambusa hsuehiana,narrow-ranged,LC
sp1987,Chimonobambusa macrophylla,narrow-ranged,LC
sp1988,Chimonobambusa macrophylla var. leiboensis,narrow-ranged,DD
sp1991,Chimonobambusa microfloscula,narrow-ranged,EN
sp1992,Chimonobambusa opienensis,narrow-ranged,LC
sp1993,Chimonobambusa puberula,narrow-ranged,LC
sp1994,Chimonobambusa pubescens,narrow-ranged,DD
sp1997,Chimonobambusa rigidula,narrow-ranged,LC
sp2000,Chimonocalamus delicatus,narrow-ranged,VU
sp2001,Chimonocalamus dumosus,narrow-ranged,LC
sp2004,Chimonocalamus longiligulatus,narrow-ranged,VU
sp2005,Chimonocalamus montanus,narrow-ranged,VU
sp2006,Chimonocalamus pallens,narrow-ranged,VU
sp2007,Chionanthus brachythyrsus,narrow-ranged,DD
sp2008,Chionanthus guangxiensis,narrow-ranged,LC
sp2011,Chionanthus longiflorus,narrow-ranged,NT
sp2013,Chionanthus ramiflorus var. grandiflorus,narrow-ranged,LC
sp2021,Chonemorpha floccosa,narrow-ranged,VU
sp2035,Cinnamomum austroyunnanense,narrow-ranged,NT
sp2047,Cinnamomum javanicum,narrow-ranged,NT
sp2049,Cinnamomum kotoense,narrow-ranged,CR
sp2058,Cinnamomum osmophloeum,narrow-ranged,VU
sp2064,Cinnamomum reticulatum,narrow-ranged,LC
sp2066,Cinnamomum rufotomentosum,narrow-ranged,VU
sp2074,Cinnamomum tsoi,narrow-ranged,NT
